2025-12-06 11:56:17 | INFO | ModelTrainer | Classifier trained metrics={'accuracy': 1.0, 'roc_auc': 1.0, 'precision_high': 1.0, 'recall_high': 1.0}
2025-12-06 11:59:38 | INFO | ModelTrainer | Classifier trained metrics={'accuracy': 1.0, 'roc_auc': 1.0, 'precision_high': 1.0, 'recall_high': 1.0}
2025-12-06 12:02:03 | INFO | ModelTrainer | Classifier trained metrics={'accuracy': 1.0, 'roc_auc': 1.0, 'precision_high': 1.0, 'recall_high': 1.0}
2025-12-06 12:07:39 | WARNING | ModelRegistry | Artifact risk_classifier.pkl is missing
2025-12-06 12:07:39 | INFO | AnalyticsService | Classifier missing. Training from scratch.
2025-12-06 12:07:39 | INFO | ModelTrainer | Classifier trained metrics={'accuracy': 0.8, 'roc_auc': 0.76, 'precision_high': 0.7142857142857143, 'recall_high': 1.0}
2025-12-06 15:57:14 | INFO | ModelTrainer | Using 3-fold CV (minority class size=3)
2025-12-06 15:57:14 | INFO | ModelTrainer | Cross-validation ROC-AUC mean=1.0000 std=0.0000
2025-12-06 15:57:14 | INFO | ModelRegistry | Saved classifier artifact classifier_v20251206105714.pkl
2025-12-06 15:57:14 | INFO | ModelTrainer | Classifier trained version=20251206105714 metrics={'accuracy': 0.5, 'roc_auc': 1.0, 'pr_auc': 0.5, 'f1': 0.0, 'precision_high': 0.0, 'recall_high': 0.0, 'cv_roc_auc_mean': 1.0, 'cv_roc_auc_std': 0.0}
2025-12-06 15:57:31 | INFO | ModelTrainer | Using 3-fold CV (minority class size=3)
2025-12-06 15:57:31 | INFO | ModelTrainer | Cross-validation ROC-AUC mean=1.0000 std=0.0000
2025-12-06 15:57:31 | INFO | ModelRegistry | Saved classifier artifact classifier_v20251206105731.pkl
2025-12-06 15:57:31 | INFO | ModelTrainer | Classifier trained version=20251206105731 metrics={'accuracy': 0.5, 'roc_auc': 1.0, 'pr_auc': 0.5, 'f1': 0.0, 'precision_high': 0.0, 'recall_high': 0.0, 'cv_roc_auc_mean': 1.0, 'cv_roc_auc_std': 0.0}
2025-12-06 16:07:30 | WARNING | RiskService | Failed to score dataset (columns are missing: {'has_passport'}). Retraining classifier for compatibility.
2025-12-06 16:07:30 | INFO | ModelTrainer | Using 5-fold CV (minority class size=23)
2025-12-06 16:07:30 | INFO | ModelTrainer | Cross-validation ROC-AUC mean=0.9150 std=0.1179
2025-12-06 16:07:30 | INFO | ModelRegistry | Saved classifier artifact classifier_v20251206110730.pkl
2025-12-06 16:07:30 | INFO | ModelTrainer | Classifier trained version=20251206110730 metrics={'accuracy': 0.9166666666666666, 'roc_auc': 0.9714285714285715, 'pr_auc': 0.5466666666666666, 'f1': 0.888888888888889, 'precision_high': 1.0, 'recall_high': 0.8, 'cv_roc_auc_mean': 0.915, 'cv_roc_auc_std': 0.13181426326464069}
2025-12-06 16:07:30 | INFO | RiskService | Classifier re-trained due to schema drift. version=20251206110730
2025-12-06 16:35:47 | WARNING | ModelTrainer | Training skipped: not enough classes in dataset.
2025-12-06 16:36:03 | WARNING | ModelTrainer | Training skipped: not enough classes in dataset.
2025-12-06 16:36:24 | WARNING | ModelTrainer | Training skipped: not enough classes in dataset.
2025-12-06 16:40:06 | INFO | ModelTrainer | Using 3-fold CV (minority class size=3)
2025-12-06 16:40:06 | INFO | ModelTrainer | Cross-validation ROC-AUC mean=1.0000 std=0.0000
2025-12-06 16:40:06 | INFO | ModelRegistry | Saved classifier artifact classifier_v20251206114006.pkl
2025-12-06 16:40:06 | INFO | ModelTrainer | Classifier trained version=20251206114006 metrics={'accuracy': 0.5, 'roc_auc': 1.0, 'pr_auc': 0.5, 'f1': 0.0, 'precision_high': 0.0, 'recall_high': 0.0, 'cv_roc_auc_mean': 1.0, 'cv_roc_auc_std': 0.0}
2025-12-06 16:56:03 | INFO | ModelTrainer | Using 3-fold CV (minority class size=3)
2025-12-06 16:56:03 | INFO | ModelTrainer | Cross-validation ROC-AUC mean=1.0000 std=0.0000
2025-12-06 16:56:03 | INFO | ModelRegistry | Saved classifier artifact classifier_v20251206115603.pkl
2025-12-06 16:56:03 | INFO | ModelTrainer | Classifier trained version=20251206115603 metrics={'accuracy': 0.5, 'roc_auc': 1.0, 'pr_auc': 0.5, 'f1': 0.0, 'precision_high': 0.0, 'recall_high': 0.0, 'cv_roc_auc_mean': 1.0, 'cv_roc_auc_std': 0.0}
2025-12-06 16:56:51 | WARNING | RiskService | Dropped 1 objects due to rare condition classes: {2: 1}
2025-12-06 16:56:51 | WARNING | ModelTrainer | Insufficient classes (train={0: 7}, test={0: 2}). Training DummyClassifier.
2025-12-06 16:56:51 | INFO | ModelRegistry | Saved classifier artifact classifier_v20251206115651.pkl
