name,region,district,resource_type,water_type,fauna,passport_date,latitude,longitude,coord_center,coord_north,coord_south,coord_east,coord_west,length_m,width_m,area_ha,depth_max_m,depth_avg_m,depth_min_m,vegetation_surfa,vegetation_unde,phytoplankton_le,fish_presence,invertebrates,fish_productivity,pdf_url
Озеро Балхаш,Жетысуская,Балхашский,озеро,непресная,да,2012-06-15,46.54,74.87,46.54N 74.87E,,,,,60000,74000,16400,26.0,8.0,0.5,средне,слабо,сильно,сазан; лещ,Daphnia,55,https://example.com/balkhash
Озеро Алаколь,Абая,Аягозский,озеро,непресная,да,2018-07-20,46.27,81.53,46.27N 81.53E,,,,,104000,52000,2690,15.0,5.0,0.5,слабо,средне,средне,сазан,Cyclops,40,https://example.com/alakol
Озеро Зайсан,Восточно-Казахстанская,Курчумский,озеро,пресная,да,2010-05-12,47.55,84.8,47.55N 84.80E,,,,,100000,30000,5500,20.0,7.0,1.0,слабо,слабо,средне,сиг; окунь,Daphnia,45,https://example.com/zaysan
Озеро Маркаколь,Восточно-Казахстанская,Курчумский,озеро,пресная,да,2013-07-14,48.61,85.8,48.61N 85.80E,,,,,3800,1000,455,27.0,14.0,1.5,слабо,слабо,средне,сиг,нет,65,https://example.com/markakol
Озеро Иссык,Алматинская,Енбекшиказахский,озеро,пресная,да,2017-06-01,43.27,77.49,43.27N 77.49E,,,,,1800,600,90,50.0,25.0,2.0,слабо,слабо,слабо,форель,нет,50,https://example.com/issyk
Озеро Каинды,Алматинская,Кегенский,озеро,пресная,да,2020-09-05,43.04,78.47,43.04N 78.47E,,,,,2000,400,40,30.0,12.0,1.0,средне,слабо,средне,форель,нет,55,https://example.com/kaindy
Озеро Сасыкколь,Жетысуская,Аксуский,озеро,пресная,да,2014-05-25,46.35,81.6,46.35N 81.60E,,,,,3000,1500,210,10.0,4.0,0.5,средне,средне,средне,сазан,нет,40,https://example.com/sasykkol
Озеро Копа,Акмолинская,г. Кокшетау,озеро,пресная,да,2016-08-19,53.29,69.39,53.29N 69.39E,,,,,3700,1800,12,3.0,1.5,0.3,средне,слабо,средне,лещ; окунь,нет,35,https://example.com/kopa
Озеро Тенгиз,Акмолинская,Егиндыкольский,озеро,непресная,нет,2005-09-10,50.5,69.2,50.50N 69.20E,,,,,35000,15000,1590,12.0,4.0,0.2,средне,средне,сильно,нет,нет,10,https://example.com/tengiz
Озеро Индер,Атырауская,Индерский,озеро,непресная,нет,2004-05-05,48.55,51.75,48.55N 51.75E,,,,,8000,4000,110,6.5,3.0,0.2,сильно,средне,сильно,нет,нет,20,https://example.com/inder
Капшагайское водохранилище,Алматинская,Конаев,водохранилище,пресная,да,2011-05-11,43.92,77.1,43.92N 77.10E,,,,,18000,3000,1847,28.0,12.0,1.8,слабо,средне,средне,судак; сазан,нет,65,https://example.com/kapshagay
Бартогайское водохранилище,Алматинская,Енбекшиказахский,водохранилище,пресная,да,2014-07-07,43.76,78.55,43.76N 78.55E,,,,,6000,1500,49,30.0,15.0,1.0,средне,средне,средне,сазан,нет,45,https://example.com/bartogai
Мойнакское водохранилище,Алматинская,Райымбекский,водохранилище,пресная,да,2016-11-01,43.06,78.78,43.06N 78.78E,,,,,5000,400,120,40.0,20.0,1.5,слабо,слабо,средне,форель,нет,65,https://example.com/moinak
Шульбинское водохранилище,Восточно-Казахстанская,Шульбинский,водохранилище,пресная,да,2010-10-10,50.4,81.25,50.40N 81.25E,,,,,15000,3000,255,24.0,11.0,1.3,средне,средне,средне,карп,нет,50,https://example.com/shulbinsk
Бухтарминское водохранилище,Восточно-Казахстанская,Алтайский,водохранилище,пресная,да,2007-09-20,49.66,83.35,49.66N 83.35E,,,,,35000,5000,5490,35.0,18.0,2.0,слабо,слабо,слабо,сиг; форель,нет,55,https://example.com/bukhtarma
